# A Day with Stephen Vanasco in Los Angeles (Walkie Talkie episode 88)
# https://www.youtube.com/watch?v=cpdytzJ24xo
# length 39 min

## DESCRIPTION
*This episode is made possible with support from Squarespace.*
Support Walkie Talkie by going to https://www.squarespace.com/paulieb. 
Use code "PAULIEB" & get a 14 day free trial and save 10% oﬀ your first purchase.

Follow Stephen: https://www.instagram.com/stephenvanasco/
Stephen's Gear: Leica MP w/ 35mm Summicron 

__________________
Shoot film? Get your film developed and scanned at Nice Film Club!
Join the club today using this link: 
https://bit.ly/NiceFilmClub
https://bit.ly/NiceFilmClub
https://bit.ly/NiceFilmClub


__________________
Interested in working together? Sponsorships, Brands, Collaborations: 
Email me: contact@paulbaldonado.com

Want to send me something? 
mail me here: 
PO BOX 422 
Jersey City NJ 07303
(but also send me an email or DM notifying me) 

follow me on IG: https://www.instagram.com/paulie.b/


__________________
Gear used to create this video: 
Video: 
DJI Osmo Pocket 3 (https://amzn.to/3R6Vr7t)
Mics: 
Rode Wireless Go II (https://amzn.to/3V0QBtt)

this video was edited by Javier “Xavi” Rodriguez (https://www.instagram.com/_xavi_javier/)

__
Chapters 
00:00 Intro
01:11 Gear Talk
02:45 Anti-Genre Photography
05:55 How Photography Started in Adult Film
08:56 Van Styles; Where the Name Came From
09:55 Dropping the Name, Losing 800,000 Followers
12:36 Hollywood & Vine; Winogrand's Corner
15:44 Point of Departure; The Dorothea Lange Story
17:14 The Daughter Project
20:56 Artists Are Selfish; The Dan Winters Story
21:57 Making a Living Without Ad Campaigns
25:24 The Stolen Leica
26:58 Squarespace
28:13 Shooting LA After COVID
36:29 How to Define Success
39:07 Outro
--
#streetphotography

## TRANSCRIPT (seconds  text)
  461  uh photographer.
  462  And if the a photographer who was busy,
  464  I'd have to reschedule everything kind
  466  of around that. And at 22, I was just
  469  like, "Hey,
  470  I'm tired of rescheduling. I have money
  473  saved. Can I just buy my own camera set
  474  up and do this?" And he was like, "Go
  476  for it." And that's how I got into
  478  photography.
  481  And then from there, you know, I'd take
  482  my camera with me skateboarding with
  484  friends. The same feeling I got from
  486  skateboarding at 12 years old, 13, was
  488  there again in photography.
  491  And I just got to a point working in
  492  that industry
  494  that I wanted to see where this would
  496  take me.
  497  I figured I I wanted to take that chance
  499  and not be 70 years old saying, "Oh, I
  501  wonder what would have happened if I
  503  followed this."
  504  And here I am today.
  507  You know, that at the time, this was
  508  like early 2000s, so before social media
  511  per se, before, you know, a lot of the
  513  free stuff online.
  515  It was a kind of like a subculture, like
  517  punk rock almost is what it seemed like
  518  to me. You know, and there was also a
  520  stigma that if you worked in any form in
  522  that business, you couldn't do anything
  524  else. Like you're kind of going to be
  525  tarred and branded. But if what you're
  527  doing has some substance, then they may
  530  not like you, but they'll respect you.
  531  >> Part of that story of the adult film
  533  world was you having like a different
  535  name.
  536  >> Yeah. So at the time, Christian Mann was
  538  like, "Oh, like if you're going to do
  539  this, you you need a different name." So
  541  I could just came up with Van Styles,
  543  which the Van came from my last name.
  546  Styles came from there was a hip-hop
  547  group from the Valley called Styles of
  550  Beyond that I really was into. So I was
  551  like, "Oh, I'll just call myself that."
  552  And it kind of stuck. And so when I was
  555  ready to kind of like pursue
  556  photography, Instagram had just
  558  launched. I was like, "Oh, okay, like
  559  I'll just keep running this name." Since
  561  I was already somewhat familiar with
  563  photographing portraits, women, models,
  565  whatever you want to label it as, I'm
  567  just going to keep doing that. But the
  569  pitch would be to any of the women that
  571  were adult performers, it'd be like,
  573  "Well, let's go make our own photos, but
  574  like we don't have to do what we've done
  576  on the sets. Let's just go make our own
  578  stuff. And this was like peak IG Tumblr
  580  era. I'm a big fan of uh skateboarding
  583  and some of the streetwear brands at the
  584  time that I was friends with, so they
  585  would send me clothes and these women
  587  would model them and make fun photos and
  589  just post them and share them. Yeah,
  591  photographing human foreign people was
  593  kind of what I started with. I was just
  595  like, "Well, it's either
  596  drop this name and go by my real name."
  599  You know, I talked with my good friend
  601  Kiran Karnani, who at the time was VP of
  603  marketing for Leica. And it was a topic
  606  where she wanted to use or they wanted
  608  to use a photograph of mine to promote
  609  something and I said, "Oh, yeah, no
  611  problem."
  612  And she was like, "Well, what do you
  612  want to go by?" I was like, "What do you
  614  mean?" She was like, "Well, do you want
  615  to go by your real name or this name?"
  617  And so I told them, "You work in
  619  marketing, what do you think?" And she
  620  gave me the sound advice of,
  622  "Your photography is evolving and
  624  growing. There's going to be more worth
  626  in your own name than going by this
  628  name." You know, I told her, "Well, if I
  630  change the name and I really fall into
  633  myself and do this, like what if I lose
  634  followers?" And she was like very
  636  reassuring that like it's not going to
  638  matter. Like she her perspective at the
  640  time with Leica was like, "We're
  642  supporting you for your work, not for
  644  the follower count." So that was very
  647  just encouraging for someone in her
  649  position at a company like that to like
  651  give me that like sound backing of like
  653  go for it. Like, you know, so I dropped
  656  the name and changed the name and it was
  658  kind of crazy cuz it felt just very
  660  freeing. Like I'm free from this
  662  personality
  664  online brand, whatever you want to call
  666  it, that was a such associated with one
  669  subject matter that now it's like,
  670  "Great, I can really just do whatever I
  672  want to do." And it just felt like a
  673  weight was lifted and cool, now I can
  675  just go do this.
  676  >> Did you end up losing like the follow-
  678  >> Oh, yeah. I mean, this this is obviously
  680  pre-Meta buying it and pre-algorithm
  682  being what it was. I think at the time I
  684  had like 800,000 plus followers. You
  687  know, her point was like, "If you have
  689  like 50,000, And more than enough for
  691  us."
  692  So, but I mean yeah, I think now I'm at
  693  400,000 a little over 400,000, so but
  697  my experience is kind of like yeah, the
  698  numbers I guess they're cool, but it's
  701  also like
  702  don't let it dictate
  703  who you are, what you want to do,
  706  what you want to make. I do believe the
  708  idea of a core audience is stronger than
  710  the bigger audience. If the people
  712  support you, they should be down for
  713  your experiments, you're trying
  715  different stuff, and just being human.
  718  Photographers that I knew over the years
  720  were so concerned about their brand,
  722  well I can't post that, it's not my
  723  brand, I can't do this, it's not my
  724  brand, but it's like you're a person.
  726  People are allowed to grow and evolve,
  729  and I look at, you know, look at who you
  731  were as a teenager, look at how you
  732  dressed and the music you listened to to
  734  who you are now, like
  736  growth is key, and growth is important.
  739  And especially in photography or art
  742  forms, like
  743  to just keep doing one thing over and
  745  over,
  746  you're not challenging yourself, you're
  748  not pushing yourself, and you're just
  750  not allowing like time to play, I guess,
  752  right? Like just to have fun with this
  754  thing that we all do. So, we're walking
  756  up on the intersection of Hollywood and
  759  Vine.
  760  Just kind of like a historic, nostalgic,
  762  great photo when a grand made on this
  764  corner appear years ago. It's not really
  766  the same dynamic with the sun being
  768  overhead right now, but yeah, this whole
  770  thing,
  772  you know, I don't know if you're allowed
  773  to insert the photo,
  775  you know, that's pretty much the setting
  776  with the sun bouncing off the windows
  778  and creating that cool dynamic light
  780  pattern and shape, so
  782  I don't know, it's always fun to like
  783  walk past it and just
  785  sense of like yeah, some great
  787  photographer once stood here and made a
  788  great photograph. It's inspiring.
  790  >> So, that's like one singular photo from
  792  from LA.
  793  >> Yeah.
  793  >> What other like bodies of work shine a
  795  light on LA?
  796  >> I mean, there's obviously I think
  799  Estevan Oriol comes to mind as like
  801  everyone's like, you know, he's just put
  804  out such a
  805  insane body of work photographing a
  808  culture that only someone within can
  810  photograph the way he did. I'm also a
  812  big fan like Ed Ruscha as an artist.
  814  Like he did a lot of photographs
  816  throughout LA. He did one
  818  along Sunset Boulevard.
  820  He was in a pickup and he had a special
  822  mounted like crazy film magazine and he
  824  just shot like one continuous like roll
  827  like as they drove. So, they're using a
  829  lot of his work to kind of like help
  831  find landmarks or establish like where
  832  things were at. But like he drove like a
  835  massive amount of blocks like just
  836  shooting shooting shooting and it's it's
  838  impressive. The thing in LA is like it's
  840  so vast and big and I think that's
  842  always been an express comment was that
  844  it's hard to like do this kind of
  846  photography because there's so many
  847  areas and neighborhoods. You have to
  849  almost be singular and focus on one
  851  neighborhood or, you know, just really
  853  enjoy the car rides. Every a lot of
  855  photographers' impressions of LA is so
  857  embedded from Estevan's work,
  859  you know, that it's like, "Oh, like they
  861  want to photograph amazing lowriders,
  865  great tattoo people on black and white
  868  in a city setting." And it's like that's
  869  the idea of LA, but I think LA is just
  871  so much more that it doesn't have to be
  872  just that like
  874  there's a lot of different photographs
  875  to be made out here still. So, we're at
  878  our next train station. We're going to
  880  hop back on and and keep this moving
  882  down there.
  884  I always love this station over cover
  886  like just like this yellow tint.
  889  Like if you're if you're the kind of
  890  photographer who like love loves to post
  892  up and wait for something like this
  894  probably could be a good spot for that.
  896  >> Are you that kind of photographer?
  897  >> No. I've tried it. It's an understanding
  900  I guess. It's like, "Oh, like you're
  901  mentally committed to that." But
  902  especially I have a daughter who's, you
  904  know, turning 12. You have kids. I feel
  906  like anyone that has like a partner or
  908  you have kids or other people whose time
  910  is kind of dependent on you,
  912  like it's tough to like justify just
  915  standing in one spot. And then again,
  916  you're waiting for something that you
  917  don't know exactly what it is and you're
  919  just kind of like trying different
  920  things in hopes that something clicks
  922  and works.
  923  And for me, if I do see an interesting
  926  setting, maybe I'll wait, you know, 10
  927  minutes
  928  and then I'll keep going to my
  930  destination cuz I do try to give myself
  933  a point A to B if I go out. It's never
  935  just I'm just going to go randomly walk
  937  around and
  939  you know, not know what I'm looking for,
  941  not know like what the agenda is, I
  942  guess. One of my favorite photographers
  944  is Ralph Gibson.
  946  He explained a story. Uh at one point,
  949  he was working
  950  for Dorothea Lange.
  952  He showed her his work and at the time
  954  he said, "I was making photos for like
  956  Lifetime magazine, you know, black and
  958  white street gestures."
  960  And she said, "I see your work is good,
  962  but you have no point of departure."
  967  All right, so got off the train in
  969  Worcester, Vermont. Good walking space
  971  for Los Angeles with bodies, people,
  973  activity. So, I want to touch back when
  975  we were in the subway on that idea of
  977  like point of departure that Ralph
  979  Gibson was sharing. So, he shows his
  980  work to Dorothea Lange and her
  983  perception of his body of work was, "Oh,
  984  you have good photos, but there's no
  986  point of departure." So, he asked,
  987  "Well, what does that mean?" She said,
  989  "Well, if you just go out to the streets
  991  and wander aimlessly, you're not going
  992  to get much because you don't know what
  993  you're looking for."
  995  But she was like, "But something as
  996  simple as driving to the store to get
  998  toothpaste, bring your camera with you,
 1000  chances are you're going to see
 1001  something far more interesting along
 1002  that way."
 1004  So, he said, "If you're driven with a
 1005  direction, a point A to B, like at least
 1008  you have that going." Stepping outside
 1010  your door with an idea of like whether
 1012  it's a body of work you're contributing
 1013  to that day or giving yourself some bit
 1015  of directive, right? Cuz that's a tough
 1017  part. If you don't give yourself
 1018  boundaries or limits, there's a lot of
 1020  days where you go, "Where do I go? What
 1022  do I shoot?" I did a lot of just going
 1024  to go here, walk around, and see what I
 1025  get, but spending time looking at my
 1027  work, seeing what the work is, and
 1029  figuring out like what does it need to
 1031  make it stronger together has helped a
 1033  lot.
 1034  >> Another kind of similar offshoot of this
 1035  idea of a point of departure is you use
 1038  like your daughter as like a path to do
 1040  a project in terms of the was it
 1042  exchanges or something like that?
 1043  >> Yeah, so I co-parent with her mom and
 1046  they live up by Pismo Beach and our
 1048  meeting place for a long time was Santa
 1051  Barbara. Drive there, pick her up, bring
 1053  her back down LA. Uh when the weekend or
 1055  the vacation time was over, bring her
 1056  back up and meet her mom there. At
 1058  first, I was just doing the drive. Pick
 1060  her up and turn her around and come
 1061  right back, which could be brutal, too,
 1064  with traffic. So, I was like, "Let me
 1066  just go up there one day and just spend
 1067  a few hours making photographs before I
 1070  have to pick her up." So, I started
 1071  doing that along the pier, along just
 1074  the whole Cabrillo Boulevard, giving
 1075  myself the limitation of I'm only going
 1077  up there when I'm picking her up or
 1079  dropping her off. All the work was only
 1080  Tri-X black and white
 1082  made with my Leicas.
 1084  The work really presented itself the
 1086  more I kept doing it. And then, you
 1088  know, there'd be times where I would
 1089  drive all the way up to pick her up or
 1090  bring her back down and there's like a
 1092  highway along the way, so I started
 1093  making more photos that added to it. Or
 1096  if I dropped her off at her mom's
 1097  directly, I would start going to Pismo
 1099  Beach Pier and making photos and they're
 1102  all relative in the sense of the work
 1103  project, but it was a realization that I
 1105  wouldn't be doing these photos if it
 1107  wasn't for my daughter, wasn't for the
 1109  living situation that we have being
 1110  apart from each other. So, I really
 1112  contribute that all that work to her.
 1116  I'm there for her as much as I can be.
 1118  She's presenting me these opportunities
 1120  to make photos that I normally wouldn't
 1122  have made. And when you realize that
 1124  kind of stuff, it's great. To kind of
 1126  turn something that might feel, you
 1128  know, obviously I do wish she lived
 1129  closer and I do wish
 1131  like she was just around all the time,
 1132  but a moment that could feel a bit
 1134  depressing, being able to turn it into
 1136  something that involves what you love
 1138  doing with the person that you love
 1141  and to make work that you're proud of
 1143  that, you know, has a has a genuine
 1145  story behind it and not, you know, a
 1147  vague adjective described setting of
 1150  what street photography could be. That
 1152  body of work has been fascinating for me
 1154  personally. It felt like, oh, like
 1155  here's a true personal project that I
 1157  felt is unique to me covering areas
 1160  that
 1161  as far as street photography goes, I
 1163  can't really recall anyone who's spent a
 1166  lot of time in Santa Barbara, spent a
 1167  lot of time in Pismo, and the areas in
 1170  between those. A friend of mine asked
 1171  me, "Well, when's the project done?" I
 1173  said, "I guess when she turns 18, she
 1175  starts driving, or
 1177  something, you know, until then just
 1178  keep at it and keep working on it."
 1181  That's the beauty of like a long-term
 1183  project is that you just keep at it. If
 1185  it's a city project, as the city grows,
 1187  you're changing with the city, you're
 1189  evolving with it. Or if documenting a
 1190  person, like as that person grows, like
 1193  you adapt to who they are becoming and
 1195  what they're doing.
 1197  And then also too, I think for a lot of
 1198  us as photographers, like shooting time
 1200  out of our system, cuz I would get
 1201  those, you know, 3 to 4 hours in before
 1203  picking her up. And now I can dedicate
 1205  all of my mental space and my time to
 1207  her
 1208  and not be like, oh, I need to make
 1209  photographs that I wish I was out. And
 1210  the same thing, you know, after I drop
 1212  her off, like
 1213  it'd be a sense of sadness, but it's
 1214  also like go out and make photos, and
 1216  then like use whatever feelings I have
 1218  at the time to
 1220  apply that to the pictures. Will the
 1221  pictures represent that, or am I
 1223  photographing things that I'm feel like
 1225  I'm missing in my life, or missing with
 1227  her?
 1230  >> Do you also photograph her a lot?
 1233  >> I do. So, throughout the project, there
 1235  are photos of her at playgrounds we went
 1237  to, at the beach we went to, car drives
 1239  up with her, down with her. She is like
 1241  the narrative and the focal point of it.
 1243  So, and it's like it's not a ton, cuz
 1247  I think obviously, you know, it's fun to
 1248  photograph your kids, but it's also
 1249  important to like put this away and give
 1251  them direct attention.
 1253  But enough to where you can see her
 1255  grow.
 1256  >> Yeah, one thing you said to me the last
 1257  time I was here in LA, it was a story
 1259  about photographer and his kids or
 1260  something, and the kid was like, "I
 1261  always feel like an art project to you."
 1263  And that's something that's always been
 1264  in my mind.
 1264  >> believe that was that I believe that was
 1266  Dan Winters.
 1267  Cuz I guess, you know, kids are
 1268  attentive and if they see you're just
 1270  more focused on getting a photo of them
 1271  than like actually enjoying a moment or
 1274  talking to them, they're very astute.
 1276  They're going to pick that up and be
 1277  like, oh, like you were just always with
 1279  the camera in front of me.
 1280  >> At least right now, from my own
 1282  perspective, a lot of photographers who
 1284  have kids are starting to declare home
 1287  projects of their families and stuff
 1289  like that. I always like think back to
 1290  what you said at that story. It's like
 1292  just make sure they're not an art
 1293  project.
 1294  >> be a balance. I mean, you could, but
 1295  it's also, you know, I I remember years
 1297  ago, great musician I like named Merz,
 1299  this was before I was like super heavy
 1300  in photography. He was like, musicians
 1302  are not musicians, but I think he said
 1303  artists are like the most selfish people
 1305  in the world. And that kind of falls
 1306  into that
 1308  line, right? Where it's like, oh,
 1309  everything's a project to me. And it's
 1310  like, dude, it's not about you all the
 1312  time and what you're doing. Like, just
 1314  be be a father, be a mother, be a
 1316  person.
 1317  >> I know we we've kind of like implied it,
 1319  but your full-time thing is photography.
 1321  >> Yeah. The ups and downs, everything in
 1323  between with it. Again, doing this for
 1325  20-plus years. Like, I don't do a ton of
 1327  commercial jobs. Like, I don't get
 1329  booked for
 1330  ad campaigns and stuff like that. I make
 1332  the photos I like to make, and then they
 1334  find an existence or life out there. So,
 1336  you know, for a while, I
 1337  was doing a clothing company called
 1338  Visual that would do skateboards and
 1340  t-shirts. So, I did merch apparel. And
 1342  then I've done work where I'm licensing
 1344  photographs for restaurants.
 1346  The recent one I just did, Kith is
 1348  opening up a 16,000 sq ft store in LA.
 1351  So, I provided 26 photographs for them.
 1354  I'm the only photographer I I was told
 1356  to be featured in the store. So, it's
 1358  opportunities like that that come along.
 1360  Coming from skateboarding, it's a bit of
 1361  that DIY, do-it-yourself, versus waiting
 1363  for someone to give you the opportunity.
 1365  Like, and I see you do it. I see other
 1367  people make zines, make merch, make
 1370  prints. I'll put photos on skateboards
 1372  and sell that way. There's all these
 1374  different outlets for us to do
 1376  versus waiting for the traditional
 1378  route. And I think that's what the new
 1379  world is. It's make it what you want to
 1381  make it.
 1383  Christian Mannequin, the mentor who
 1384  hired me for the adult company, gave me
 1386  two pieces of advice. One, he's like,
 1387  "Treat everybody with the same amount of
 1390  respect, whether it's the warehouse
 1391  worker
 1392  or the the CEO, whoever's in the front
 1395  office, like everyone gets the same
 1396  respect." Second thing he told me,
 1399  in regards to business, you don't get
 1401  what you deserve, you get what you
 1402  negotiate.
 1404  At times I see people go, "Well, this
 1406  photographer got this job with their
 1407  work." Well, their if their work isn't
 1409  up to yours, they had a better
 1410  mouthpiece. They knew how to do that and
 1413  get that client to give them an extra 10
 1414  grand or 5 grand or Always understand
 1417  that whatever you feel like you deserve
 1418  doesn't always mean that's what you're
 1419  going to get. Yeah, so this is the
 1421  Wiltern building theater up here.
 1423  Wraps around.
 1425  Pretty sick. And then you'll see like
 1426  when we go downtown the Eastern building
 1428  is
 1429  relative um material used design.
 1432  So now we're going to hop on uh
 1436  bit of a joke around here now cuz they
 1437  changed the the trains used to go by
 1439  color, red and purple.
 1441  So we were just on the red line. I think
 1443  that's the B line now.
 1445  We're about to jump on the purple line,
 1447  which is now the D. So we're about to
 1449  hop on the D
 1451  and go to downtown.
 1452  They made a Metro made these shirts,
 1454  "Ride the D", that like sold out so
 1457  quick.
 1458  But good for like a city-based
 1460  transportation brand to have some fun.
 1465  Transfer.
 1467  All right.
 1468  We might have to uh yeah, we might Maybe
 1470  we'll do an Uber. Let's do it. Let's do
 1472  it. That's a bit long. I guess that's
 1473  why this is open cuz
 1475  to get down there.
 1478  Yeah, the only thing I can think of we
 1480  we can do a Waymo. 15 minutes for the
 1482  Waymo.
 1483  Not not that bad, right? We'll see what
 1485  uh maybe some photo opportunities will
 1486  present themselves
 1488  while we wait.
 1489  >> There's no hopping on the D today.
 1491  >> No hopping on the D today. Not at all.
 1494  >> A few moments later.
 1495  >> Sidetracked to the sidetrack.
 1497  >> Side track to the side track. Uh Waymo's
 1499  taking too long. Going to try to keep it
 1501  walking and talking. So, it's going to
 1503  walk back uh to the B Line and Red Line
 1505  and continue today's theme of uh
 1508  training it around Los Angeles.
 1510  You know, like you were saying, it's a
 1511  nice day out, so and I was like, you
 1513  know,
 1514  when I watched what was it, Matt
 1515  Stuart's video, like his note of like
 1517  just getting out and walking, health
 1519  benefits of being outside and using your
 1521  body, exercising in some form
 1524  is great.
 1524  >> There was a incident where just before
