# L.A.'s most popular street photographer? -- Walkie Talkie w/ Jeremy Paige (around the U.S. ep 7)
# https://www.youtube.com/watch?v=E97-PxWYPAI
# length 39 min

## DESCRIPTION
Support Walkie Talkie by signing up for squarespace here: https://www.squarespace.com/paulieb. 
Use code "paulieb" & get a 14 day free trial and save 10% oﬀ your first purchase.

Follow Jeremy: https://www.instagram.com/eatenbyflowers
Jeremy's Gear: 
Nikon F4 (https://shrsl.com/4lyc5)
Nikon AF-S NIKKOR 20mm (https://shrsl.com/4lyc6)
Nikon AF-S NIKKOR 24mm (https://shrsl.com/4lyc7)

--
Watch the 1 hour extended cut of this video by joining my Patreon community (along with 25+ other extended cuts): https://bit.ly/PaulieBPatreon

--
Have film to process? You should send it to the amazing team at Nice Film Club. Get 10% off your first order (including memberships!) with code "NFCPAULIE". See Why they're the best in the game
https://bit.ly/NiceFilmClub
https://bit.ly/NiceFilmClub
https://bit.ly/NiceFilmClub


--
Buy your next camera at KEH using the link below + get an additional 5% off using code 'PAULIEB24'
https://bit.ly/KEHxPaulieB

You can also sell your gear to KEH and get a bonus 5% back by using code: 'PAULIEB24-SELL'
--
Support the channel by buying my latest zine: 
https://bit.ly/NOTASWEKNOWIT_ORDER

--
email me here: contact@paulbaldonado.com

mail me stuff here: 
PO BOX 422 
Jersey City NJ 07303

my IG: https://www.instagram.com/paulie.b/

--


Gear used to create this video: 
Video: 
DJI Osmo Pocket 3 (https://amzn.to/3R6Vr7t)
iPhone 15 Pro Max
Mics: 
Rode Wireless Go II (https://amzn.to/3V0QBtt)

--
#photography #streetphotography #filmphotography

## TRANSCRIPT (seconds  text)
  226  get that can I get that photo it's like
  227  dude it's not what you think it's going
  230  to be it's not going to be good how many
  232  roles you usually go through on like a
  234  long day a full day of shooting M maybe
  237  one two one one and a half I mean it
  240  depends right I there's some days I
  243  shoot for 3 days and I don't actually
  245  shoot any
  249  photos I I'm a big I don't know I I
  252  don't some people think I wait which I
  254  do wait but I try not to just shoot
  260  everything I used to I used to do that
  264  where I would see this and i' be like oh
  266  cool like it's a bald guy I'm going to
  267  follow this bald guy until that bald guy
  270  wearing the Hat in front of him takes it
  271  off for a second and then I'll get that
  273  bald and then I'll get three bald guys
  276  but I don't really do that much anymore
  277  I just kind of wait for
  279  these scenes I guess I don't know can't
  282  describe it you've mentioned in like
  284  another Brian Burke's interview you
  285  mentioned Helen lit's a big inspiration
  287  for you oh I love her dude when did you
  289  first kind of discover Helen levit and
  291  like oh man how did it affect you I saw
  293  the famous like spider kid photo you
  295  know the little girl that's trying to
  296  get something under the
  297  car and really liked
  301  it that was that was the first photo I
  304  saw that I loved then the one where it's
  308  a mother and her two kids like crammed
  310  in a telephone booth yeah it's really
  314  interesting around
  317  here it's just a thresher of human
  319  beings just churning around that's kind
  322  it kind of goes back to what I was
  324  saying before though I try and take my
  326  time you know
  330  cuz my my first instinct obviously is to
  332  just Barrel through and just grab photos
  336  but I don't really do that anymore I
  338  feel like when I was younger I was
  341  more almost abrasive where I didn't
  344  really care like I input myself into the
  348  photos you know what I mean where there
  351  would be sometimes where I would want
  352  something or someone to look at me so I
  354  go you know like make a [ __ ] weird
  356  noise and they'd look and then I'd grab
  358  the eyes
  360  but I sub doing that so I was like uh
  363  it's like it feels like manipulation you
  365  know it's like real life
  368  Photoshop so now I just try and wait how
  371  long you been sh with a Nikon
  372  F4 oh since uh I don't know
  377  maybe five I don't know about probably 5
  380  years about five
  381  years um okay
  385  well take some
  388  photos prob
  407  yeah I love those the blue ones those
  411  things I used to just run up to them and
  413  like take people's portraits on the side
  414  of them and I've gotten a couple really
  416  good ones but I don't want to just keep
  417  getting them you know what I mean
  420  so that's one thing that gets harder the
  422  longer you're shooting in the same spot
  425  is you're presented the same photos and
  427  practicing not getting them
  429  is
  431  hard to do this in this
  434  life to kneel down before Jesus Christ
  437  in this life and to recognize him as
  439  Lord and
  440  savior because if people want good in
  443  this
  444  life dude I freaking take these things
  446  every time and I don't have the heart to
  448  just throw them away right away
  450  so I got to keep it for a little
  472  bit she probably was to
  476  get it's going to be a good one
  485  hi excuse me
  492  sorry that was good man what's up man
  496  how you
  497  doing that's they don't ever die you
  502  said maybe is it inag Instagram stories
  504  but you said a lot of photographers out
  506  take your photos don't have the courage
  507  to get the photo they want yeah maybe I
  510  shouldn't said that I that seems rude a
  513  lot of times I look at photos and I can
  516  see the photo they wanted to take and
  519  what I'm looking at is the photo they
  520  settled to take that that is something I
  523  agree with but I mean I don't sound like
  525  I'm on my [ __ ] high horse I mean I do
  527  that [ __ ] I do that stuff sometimes for
  530  like new photographers what's some steps
  532  I could take to kind of gain that
  534  courage to to get that photo
  539  um I'd say to not care honestly man like
  544  I mean just speaking
  545  candidly to just not care to just like
  549  go out that's what I do I I spent Years
  552  Learning and studying people and just
  555  seeing like how they were doing it how
  557  they were having success what they were
  559  doing and I was influenced and I kind of
  562  formed my own way of shooting based off
  565  of a lot of those people and some
  569  sometimes just diving into something and
  572  with no expectations you just get more
  576  cuz you discover you're you can
  578  feel the magnetism towards something
  582  else right so to just not I don't care
  586  like when I'm walking around I just I
  587  don't have anything no preconceived
  590  notions I used do all of it man I'd
  592  manifest colors or I'd want to get
  595  certain things and now I just don't do
  597  that I just go out and I just take
  598  pictures
  600  that's why I'm scared to sell prints
  601  that's why I don't sell prints you know
  602  people ask for prints from time to time
  605  and I feel rude saying no
  607  but it's it's not that I don't want them
  610  to have prints I I'm really flattered
  612  that someone want Prints
  614  but it would rewire my brain and I would
  617  know that if I took a photo I could then
  619  sell it for something it gets scary you
  622  know and then the more you're selling
  623  prints for every time you take a photo
  625  you go oh maybe I could sell like 10
  627  prints of this for 150 you know it gives
  629  you a different motivation to go out and
  631  shoot so it scares me that's why I don't
  634  even call myself photographer I'm just
  636  walk around taking photos no big deal
  638  it's so much more fun when you don't
  640  care isn't it like what we're doing
  642  right now like I don't care this is just
  645  this is just fun just walking around you
  651  know who knows who knows
  672  what about triggers you have any
  673  triggers any like thing that kind of
  674  pulls your attention when you see it
  677  that you can't help but take a photo
  681  of no I I don't know that's a good
  684  question sometimes there's a connection
  687  I can't describe it like when I'm
  688  walking towards
  690  someone I I'm just drawn to them I got a
  694  picture of this guy a couple months ago
  696  and he was really beat up he looked
  699  awful and uh normally I
  701  wouldn't I'd feel kind of bad you know
  703  the guy looked pretty
  705  downtrodden um but he just kind of
  707  flashed a
  709  smile and then I just took his photo and
  712  and I ended up really loving it so guess
  715  it just depends I like scenes Big scenes
  717  bookends
  719  because I shoot real wide and obviously
  722  I crop when I have to but I really don't
  724  like to do that so that's really what I
  727  like like this gentleman getting his
  729  photo taken these women you know what I
  732  mean if I was there and she was smoking
  734  a cigarette like it would just be a big
  735  sweeping scene kind of like three photos
  738  in one you know a three in one like a
  740  body wash shampoo conditioner kind of
  742  deal besides H and love it any other
  744  photographers or photo books that have
  746  had a great impact or big impact in your
  748  photography
  749  um and before Jeremy answers this
  752  question I want to get into something
  754  that I came across years ago that really
  756  influenced my street photography and
  758  that is this skillshare course by my now
  761  friend Andre d Wagner if you're just
  763  starting out street photography or this
  764  is new to you Dre teaches you valuable
  767  lessons on knowing your camera gives you
  769  tactical advice on how he thinks about
  771  focusing how he practices Zone focusing
  774  in addition to shooting off of your own
  776  intuition going off feeling not to over
  779  think situations and the importance of
  781  just being outside and putting in the
  782  work skillshare is the largest online
  784  learning community for creatives with
  786  thousands of classes these classes are
  788  led by industry experts across so many
  791  different categories like film
  792  photography illustration productivity
  795  videography anything you can think of
  797  it's on skillshare skillshare can help
  799  you take your career your skills your
  801  hobbies your passions your side hustles
  803  to the next level and here's a special
  805  offer just for you guys watching this
  807  video the first five 500 people who join
  810  skillshare using the link in the
  812  description of this video get a
  813  one-month free trial of skillshare
  815  Premium so there's no reason not to join
  818  all right so back to Jeremy's answer on
  820  photography influences photo books yeah
  823  or photographers yeah I really like Fred
  826  Herzog I just got one of his big books
  830  it's incredible it's really incredible
  833  and uh big fan of uh Mermelstein I just
  836  got dang I can't remember the name of it
  838  I I just got my first and only winr book
  841  it's like a compilation but really
  843  amazing you know he shot Hollywood Way
  846  forever ago and uh I I really like his
  850  work a lot he could shoot now current
  854  exactly how he shot then and it would
  857  just be so amazing you know those videos
  859  of him just like kind of fumbling and
  861  then like he just grabs it so cool
  892  [Music]
  898  it's good good job oh you got one
  903  nice what's your relationship with
  904  social media these days um I like social
  908  media I like it i' I've always had a
  911  pretty okay LoveHate relationship I
  914  guess I mean I mean you follow me I post
  917  maybe four times a year three if I'm
  918  lucky four times a year I think a couple
  921  years ago I only had three posts but I
  924  mean each one is 10 photos so it's 30 30
  927  photos um I really like it man I don't
  930  have a problem with it I have met some
  933  really cool people like the same story
  935  most people have you know I just try and
  938  I get real influenced like I'm very
  941  susceptible to influence so I don't I
  945  try not to be on there too much I try
  947  not to be on social media too much cuz
  949  you see things someone shooting a
  951  certain way and go oh wow that's really
  952  cool you know but ju you just need a
  955  little bit just like to wet your
  956  appetite so posting so infrequently like
  959  three times four times a year what makes
  960  you want to post like what what's the
  962  impetus behind one of those 10 sets
  967  uh well often times it just takes me a
  970  while you know I mean it takes me a
  973  little while it's a
  975  feeling where you just feel like okay
  977  this is a good these feel good together
  980  let me throw them out there let me see
  981  what people think you know I don't know
  983  man it's tough
  994  I just go oh well it's been a few months
  996  let me see what I got and then I'll say
  998  okay wow I got five that I think go
 1000  great together let me go look for a
 1002  couple more that would maybe complement
 1004  this you know and then I just go walk
 1006  around just kind of look how do you feel
 1008  about scarcity increasing value some
 1010  people hold back their images with
 1012  greater Ambitions for like a book or
 1013  exhibition sure what are your thoughts
 1015  on
 1016  that I think that's great
 1019  I think that's great I mean teach around
 1021  whatever you know I mean there's a
 1025  really great director producer his
 1027  name's uh Roger Corman been around since
 1031  forever and he had a really
 1034  great ethos when he would make movies he
 1037  would say put everything in the trailer
 1039  and they'd go well if you put everything
 1041  in the trailer when they go see the
 1043  movie they're going to realize all the
 1045  best parts were already in the trailer
 1046  and he goes well it doesn't matter
 1047  because they're already in the theater
 1049  and that's all that matters you just got
 1050  to put butts in the seats you know and I
 1053  think some people do that I think some
 1056  people have 500 amazing photos and all
 1058  five are public to see and there's other
 1061  people who choose to do the opposite you
 1063  know just like a a teaser these are
 1065  three but there's going to be 10 so if
 1067  you get a book or Zen or whatever it is
 1068  there's going to be some new stuff in
 1070  there so I think I think both are okay
 1079  but we were talking about kind of
 1080  earlier where
 1082  I try and Branch off and get into these
 1086  like smaller pocket cuz I can kind of
 1088  breathe and I can see things kind of
 1091  building and that's really what I focus
 1093  on is is the build TR I think they
 1097  feel more cinematic I guess my
 1101  interpretation of what I think cinematic
 1103  is I guess some people maybe it's moody
 1106  or you know whatever it could be but
 1108  cinematic for me especially I'm inspired
 1110  by movies so much I love big sprawling
 1113  scenes just that you have to read them
 1116  left to right and figure out oh this is
 1118  what's going on this is a little story
 1119  Happening Here I really I really like
 1121  that now whereas before I didn't I like
 1124  to isolate and get close and just grab
 1127  someone's little there moment what do
 1129  you think caused that change for you to
 1130  go from one to the other dude just
 1132  getting
 1133  bored I mean just getting bored with the
 1135  same old thing
 1138  for me that's what he was
 1141  and just wanting to grow I mean just
 1144  honestly
 1146  man I don't always love this but I just
 1151  have these feelings sometimes
 1153  where I'll just be walking down and I'll
 1157  think I need to turn here and then I
 1159  turn there and then like this thing is
 1162  presented right in front of me and it
 1164  just so happens that I'm there and I'm
 1167  ready and then I just grab rabbit and
 1169  it's just one and those don't happen
 1172  very often and when I have 10 of those
 1174  or eight of those then I post them and
 1177  then I think okay I should I'll do this
 1180  again you know but in a lot of
 1183  ways I I painted myself into a corner
 1186  with photography because I do it for a
 1189  living and then I do it as a
 1191  hobby so I don't really have anything
 1194  else so when I'm not working and I just
 1197  want to blow off Ste this is like all I
 1200  got and there's sometimes where I wish I
 1204  wouldn't have done
 1205  that but it was the only way I mean I'm
 1208  I'm I get very obsessed I'm
 1210  obsessive and the only way I know how to
 1213  do something and try and get really good
 1215  at it is to only do that obsession is a
 1218  very odd thing because it's really a
 1221  tool you know you can really use it to
 1223  your
 1224  advantage and you think wow I have
 1226  control of this tool I'm using it I
 1229  created it and then one day you realize
 1232  that the coin gets flipped and then it
 1236  becomes it's using
 1238  you you know you don't have anything
 1241  else that sounds really depressing dude
 1244  but I don't mean it to sound depressing
 1246  but you know this is like this is it
 1248  sometimes I just see these things and I
 1250  just grab the photo of it and I'm just
 1253  so in love with it and then it's enough
 1256  to keep me going couple weeks you know
 1259  whatever it is you know it's always on
 1261  the one day where you go I'm sick of
 1264  this [ __ ] I'm going to take a Hiatus I'm
 1266  going to learn how to surf this summer
 1268  or whatever it is and then 20 minutes go
 1271  by it's some little girl releasing a red
 1274  balloon with ice cream on her face and
 1276  some guy smoking like all right great
 1279  well maybe I'll do this for another
 1281  month you know it's enough it's enough
 1284  to keep you going I want to get out of
 1286  here and in the way that I I kind of
 1289  want to book in I I'm starting to really
 1292  appreciate people who have these bodies
 1298  of work where they maybe go somewhere or
 1302  they they bookend it right like okay
 1304  this is I spent 10 years documenting
 1306  this this is the beginning this is the
 1308  end that's the story that's how I saw it
 1311  and these 10 years now someone else can
 1314  do it or what whatever it may be you
 1315  know and I've been getting that itch to
 1317  want to do that
 1319  I
 1319  want something something new what's this
 1323  stuff what's the story behind this uh I
 1326  don't know man I don't take that's
 1327  illegal graffiti so I don't know I don't
 1331  know who's doing
 1332  that some some amazing citizen working
 1336  with me I don't
 1338  know no I love those man I because a lot
 1342  of time so I when I'm walking around
 1344  I'll take portraits of people I'll just
 1346  like oh hey hey hey I see you all the
 1347  time I'll just take their photo and send
 1349  it to them and often times like you know
 1353  we we live in a time where people don't
 1354  really want an email they'll just say oh
 1356  what's
 1357  your uh you know what's your social
 1358  media what's your ad or whatever and
 1360  they say oh it's eaten by flowers and
 1361  they go oh [ __ ] I see that all over the
 1363  place and I really like it cuz it's it's
 1366  like oh yeah I live around here and they
 1367  usually live somewhere block or two away
 1370  and then I send them these photos and
 1371  then I see them around sometimes and
 1373  they'll always say hi so it for me it
 1376  kind of helps create these little
 1377  strings the neighborhood where when I'm
 1379  walking around I'll see people and
 1381  they'll kind of look at me and like oh
 1382  yeah how's it going like oh I love the
 1384  photo thanks so much for sending it to
 1386  me and they're usually just like random
 1388  portraits you know you have a favorite
 1390  photo of yours that You' taken yeah I
 1393  think so
 1394  oh yeah I there's one of a gentleman I
 1398  got and he's pointing and behind him is
 1401  a billboard and it says you've made your
 1404  point and I always thought it was really
 1406  such a nonsensical photo but it was
 1409  really cool taking it I got one of a
 1411  fellow
 1413  holding a big Jesus portrait that's very
 1417  cool that I really like can you talk
 1419  about just being out here so much you
 1422  start to get to know the locals and like
 1424  the the regular Street vendors and the
 1426  regular crazies yeah I mean I try to I
 1430  try and shoot with a smile man CU I I
 1433  see I mean there's so many people who
 1434  shoot in Hollywood now and I I see them
 1436  you know sometimes they'll be in front
 1437  of me or I'll see across the street or
 1439  whatever it
 1440  is and everyone has their own style of
 1443  what works for them and that's cool you
 1445  know no judgment or whatever but I see a
 1449  lot of people kind of not like stealing
 1452  photo you know where they get it like
 1453  real quick and I do that from time to
 1456  time cuz I don't like confrontation but
 1461  I don't mind if they kind of see me or
 1463  sense me coming and it's a lot better if
 1466  I'm smiling and I'm just happy another
 1469  thing is
 1470  music there's nothing more fun than
 1473  walking around taking photos listening
 1475  to
 1476  music and I noticed that it was not good
 1482  oh
 1484  sorry sorry get well
 1488  soon like that I feel like such an
 1490  [ __ ] like she's crying but I just
 1492  have to I love when people cry it's like
 1494  so beautiful I don't know why it's so
 1495  great where do you fall in the spectrum
 1496  of like I want to be invisible
 1499  when I'm out here shooting to like I
 1501  don't care I'm flashing in your face
 1503  yeah yeah I guess maybe somewhere in the
 1505  middle I I don't really overthink it I
 1508  don't try and make my presence
 1511  unknown I just try and control my
 1515  energy I think is a big part like if
 1519  you're just
 1521  like you know it's very like it can be
 1525  abrasive but also if I'm just kind kind
 1528  of like trying to be stealthy and just
 1531  like get somebody that also feels kind
 1535  of rude in a way
 1537  so I just try and control my energy I'm
 1542  definitely sneaky at times I'm
 1543  definitely in your face at
 1545  times but I I try and always just try
 1550  and be respectful as I can cuz it's a
 1553  pain when you're shooting film right cuz
 1555  you'll have that guy who's like well let
 1557  me see it it's like I can't
 1558  or if's like you better delete that like
 1560  I can't I just I can't so you just got
 1563  to be nice and just not match their
 1567  energy but just try and have them match
 1568  yours and be like look I'm really sorry
 1570  if you really don't want me to use it I
 1572  certainly won't but I'm going to get a
 1574  developed I'll delete it later just take
 1576  my word for you know whatever and just
 1578  disarm and just bring it down I've in
 1581  some pretty bad scenarios man I still do
 1583  it I mean you see I do it still now I
 1586  when people are in their car I love the
 1590  frame of a car window when it's down
 1593  someone's in their car that's usually
 1595  they're very
 1596  comfortable and I like taking pictures
 1599  of that there's some people who really
 1602  don't appreciate that and I take it and
 1605  then they get real upset and sometimes
 1608  those people get out of the
 1609  car and they want to fight or you know
 1613  whatever it is um so yeah I've kind of
 1615  been there done that
 1618  I used to when I was learning man like
 1621  that's what it's all about it's like you
 1622  it's trial and error I was I used to
 1625  shoot like an [ __ ] walking around
 1627  with a pointing shoe just [ __ ]
 1628  popping flashes in people's face just to
 1630  get a photo of some dude's face it's
 1633  like it looks kind of cool but it only
 1634  looks cool because of what I had to do
 1636  to get it so I don't really I don't
 1637  really do that much
 1640  anymore now I just trying oh I one of my
 1643  favorite photos I did get here she was
 1645  like H like this and she had a sack of
 1648  ice on her head and it said uh good time
 1653  ice I think I think it said good time
 1654  ice and she was not having a good time
 1657  but I was here having a coffee and it
 1659  just like happened right there I I
 1660  snagged the moment she looked really
 1663  upset she wasn't that upset just kind of
 1665  that one second I grabbed her but I that
 1667  photo's I love that photo so we were
 1669  talking about the levels of invisibility
 1672  versus iny
 1674  fa yeah can you talk about the photo of
 1677  the guy Hawking a lugie at you what was
 1681  what's the context behind that photo cuz
 1683  that's a very much like in-your-face
 1685  frame yeah yeah you're right you know
 1687  what's funny about that photo that's I
 1689  think that's my most I think people like
 1691  that photo the most out of out of maybe
 1693  all the photos I've taken it's a really
 1695  great photo I I really enjoy it it was
 1699  like most I it's so weird talking about
 1703  him sometimes cuz I I feel kind of rude
 1705  in retrospect but I saw him with the
 1708  neck brace I saw him coming a block away
 1711  and I thought oh here we go all right
 1713  well I'm going to get the neck brace but
 1715  I like when things have Hollywood in
 1717  them like I really like it I like when
 1720  there's something that places it like
 1723  it's stuck in time and it says Hollywood
 1726  somewhere it's a license plate a tour
 1728  company a business like Hollywood
 1730  whatever it is you know so I saw him
 1731  coming and I kind of I was going this
 1734  way he was coming this way and then I
 1736  kind of went back the other way like
 1739  walking back you know in the same
 1741  direction as he was walking in my head
 1744  thinking okay I'm going to let him get a
 1745  little bit further and then I'm going to
 1747  turn and then I'm going to get him with
 1748  the Hollywood there's like a motel there
 1750  it's I don't I don't I think it's torn
 1752  down now but so that was my idea and
 1756  that's what happened and he was
 1759  intelligent and could tell he knew and
 1762  as he got closer I realized that he had
 1765  like a cut on his nose
 1768  so I did one of these like
 1771  I I like turned around and walked
 1773  towards him like this close and grabbed
 1775  one and then I saw the cut and thought
 1778  [ __ ] I need another one so I took I was
 1780  backing up and as I was backing up he
 1783  was like that you know upset naturally
 1787  as he should have been and and then yeah
 1790  he spit on the camera and then we had it
 1793  back and forth for a few seconds I think
 1795  he was late for something and then he
 1797  went on his way
 1799  and and then the photo sat on the roll
 1801  for a while and then I had the photo for
 1804  a few months
 1806  thinking I don't know man this
 1809  seems this seems bad like this guy did
 1813  not like this photo being taken so I was
 1815  really on the fence about posting it and
 1818  uh I mean obviously I did and I really
 1820  grew to love it now but the first one is
 1823  even
 1824  angrier the one where he's not spitting
 1827  he was much more upset but it was just I
 1829  had to man I just had to it's a
 1833  compulsion you know it's and it's not
 1836  always good like I have another one
 1839  where it's a car crash and there's a
 1842  woman looking up it's like two cars
 1845  collided and I got this woman incredibly
 1848  stressed out on the interstate or in the
 1851  freeway looking up and I'm up there just
 1853  taking her photo and I feel like such an
 1855  [ __ ] I feel like street photography
 1858  especially now has come under a lot of
 1861  fire where there's a lot of people that
 1864  are not so big on the subject of doing
 1867  it you know of like well did they
 1869  consent and things like that and I can I
 1873  mean I understand both sides of the
 1874  story I I get it you know I I get how
 1876  some people could be upset by getting
 1879  their photo taken I could see how some
 1880  people would be upset on behalf of other
 1883  people seeing a photo and saying well
 1886  geez did they consent to this they look
 1888  awful it's not always the most becoming
 1890  photos you know
 1892  so I think that's in a way how I've
 1895  evolved I've tried to Capture
 1898  Moments where if I were to show it to
 1901  them they would go oh wow that okay I
 1902  didn't even know I was doing that I
 1904  didn't even see my husband behind me or
 1906  whatever it may be it's something that I
 1909  like and they like instead of just
 1910  catching someone like what I just did
 1912  crying or someone sneezing or you know
 1915  someone just not having a good day you
 1917  have any goals spere photography
 1918  long-term goals short-term goals how do
 1921  you how do you think about that kind of
 1922  stuff not really I mean yeah I do I
 1925  have some goals I just want to stay
 1931  [Applause]
 1933  interested I think that's
 1935  why I need to think of something else
 1938  you know I think about those questions
 1939  all the time
 1942  and I I really like shooting around here
 1946  you know I mean it seems like it be a
 1947  common theme feel like we keep talking
 1948  about that but I also don't want to only
 1952  be associated with it either you know
 1955  it's it's very dangerous thing still
 1956  don't even know what I'm doing half the
 1960  time that's another thing like do you
 1962  get people like I I will get people
 1964  reach out messages and things like that
 1966  and for whatever reason some people ask
 1969  me for advice on certain things and I
 1972  don't know I I don't know I don't I
 1975  don't know I don't have the answers you
 1976  know just like they're look looking for
 1978  answers so am I I don't know why do we
 1980  do anything how important is originality
 1984  to you the most important but some would
 1986  say with Photography in general
 1988  everything's been under the sun has been
 1990  done so what are your thoughts on that
 1992  and how do you combat that with being
 1994  original man well that's the beauty part
 1997  of street photography right
 2000  is how many people have a photo of
 2003  someone you know crying there a million
 2006  of them out there and half a million of
 2008  them are amazing you know it's
 2010  Reinventing the wheel but that person is
 2012  different that point in time is
 2013  different everything is different about
 2015  it so it makes it unique you know why do
 2017  they keep making buddy cop
 2019  movies you know one out of 10 are
 2021  amazing the other nine kind of suck but
 2024  they keep making them because we like
 2026  that kind of stuff so yeah I mean like
 2030  we were just talking about that dude
 2031  spitting at the camera that's not the
 2033  first time that's happened and it's not
 2035  the first time that's been captured but
 2037  I don't know
 2038  I I like I like being original but I
 2041  think it's arrogant to think that you
 2044  can be all the way original like I don't
 2047  think so I think all my photos are
 2049  original
 2050  90% but someone had to crawl so I could
 2053  walk and and so on and so forth like
 2056  people see my [ __ ] and they're like oh
 2057  wow that's really cool like I bet I
 2059  could [ __ ] do that better but they're
 2061  not going to be able to travel back in
 2063  time to take the same photo so they're
 2064  going to try and take the same one in
 2066  their time
 2068  so it's going to be 90% original and 10%
 2072  not and I think that's cool one of my
 2074  favorite all-time photographers uh a
 2077  friend of mine Brad Romano uh he lived
 2079  here when I moved here and I am not too
 2083  proud to say that I essentially hijacked
 2085  his whole [ __ ] style when I saw it
 2088  because I he's from
 2090  Boston and he moved here and I feel like
 2093  he was shooting la like someone would
